comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
FG0169:FG0490	0.574	1	2	1	1	1	1	1	2	2	1	1	1	3	1	0.383	0.576	0.23	0.717	0.592	0.581	0.165	0.541	0.381	0.39	0.545	0.223	0.381	1.0
FG0169:FG0516	0.459	1	1	1	1	1	1	1	2	2	2	3	2	4	2	0.383	0.424	0.67	0.283	0.152	0.571	0.296	0.399	0.363	0.327	0.201	0.317	0.303	0.336
FG0169:FG0518	0.468	1	1	2	2	1	2	2	2	2	1	1	1	3	2	0.383	0.59	0.338	0.268	0.592	0.42	0.315	0.583	0.255	0.081	0.13	0.434	0.324	0.336
FG0169:FG0521	0.501	1	1	2	2	1	2	1	2	2	1	1	1	2	1	0.265	0.576	0.5	0.161	0.386	0.531	0.427	0.133	0.265	1.0	1.0	0.365	0.189	0.198
FG0169:FG0529	0.453	1	1	1	1	1	0	2	1	1	2	1	2	3	1	0.617	0.425	0.591	0.296	0.592	0.0	0.54	0.91	0.363	0.29	0.377	0.132	0.381	0.336
FG0169:FG0530	0.601	1	1	2	1	1	1	1	1	1	1	1	1	3	2	0.201	0.576	0.591	0.283	0.142	0.367	0.704	0.777	0.381	1.0	1.0	0.131	0.268	0.763
FG0169:FG0538	0.532	1	1	2	1	1	1	1	2	1	1	0	1	2	3	0.383	0.576	0.591	0.347	0.592	0.858	0.296	0.505	0.296	0.739	0.0	1.0	0.117	0.336
FG0169:FG0549	0.482	2	1	1	1	1	1	1	2	1	1	0	0	1	2	0.617	0.184	0.591	0.164	1.0	1.0	0.296	0.604	0.637	1.0	0.0	0.0	0.481	0.336
FG0169:FG0551	0.392	2	1	1	1	1	0	3	2	3	0	1	1	3	1	0.451	0.225	0.333	0.132	0.403	0.0	0.256	0.09	0.363	0.0	0.654	1.0	0.14	0.127
FG0169:FG0560	0.45	1	1	1	1	1	1	1	3	1	1	1	1	3	2	0.617	0.444	0.409	0.717	0.408	1.0	0.126	0.36	0.381	0.43	0.552	0.094	0.138	0.336
FG0169:FG0565	0.536	1	2	1	1	1	0	2	2	2	2	1	1	3	2	0.383	0.576	0.591	0.283	0.592	0.0	0.13	0.133	0.363	0.326	1.0	0.677	0.381	0.318
FG0169:FG0566	0.477	1	1	1	1	2	0	1	1	2	1	1	1	4	2	0.201	0.178	0.409	0.717	0.437	0.0	0.704	0.633	0.363	0.324	0.365	0.188	0.29	0.406
FG0169:FG0573	0.545	1	1	1	1	2	1	2	1	2	1	1	0	3	1	0.617	0.424	0.409	0.717	0.408	0.47	0.265	0.777	0.363	1.0	1.0	0.0	0.381	0.198
FG0169:FG0589	0.419	1	1	2	1	1	2	2	2	2	1	1	0	2	1	0.337	0.424	0.409	0.569	0.252	0.566	0.704	0.602	0.255	0.367	0.096	0.0	0.381	0.336
FG0169:FG0590	0.56	1	3	1	1	1	0	1	2	1	1	1	2	2	2	0.383	0.364	0.409	0.283	0.486	0.0	0.704	0.632	0.484	1.0	0.461	0.389	0.556	0.336
