comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE027N0:DE044N0	0.499	1	4	2	1	1	1	2	1	3	0	2	2	1	3	0.662	0.191	0.603	0.091	0.664	0.094	0.189	0.109	0.416	0.0	0.357	0.484	1.0	0.14
DE027N0:DE048N0	0.485	1	2	1	2	2	2	2	1	2	2	1	3	2	1	0.662	0.277	0.397	0.453	0.301	0.639	0.565	0.458	0.458	0.214	0.148	0.362	0.242	0.127
DE027N0:DE064N0	0.519	1	1	0	1	1	3	2	1	2	1	1	2	2	3	0.082	0.468	0.0	1.0	0.727	0.582	0.565	0.051	0.416	0.412	0.553	0.217	0.29	0.295
DE027N0:DE065N0	0.525	1	2	1	1	1	1	2	1	2	1	2	2	3	1	0.662	0.277	0.397	0.115	0.273	0.733	0.435	0.312	0.232	0.658	0.416	0.314	0.26	0.759
DE027N0:DE066N0	0.43	1	1	1	0	1	1	2	1	3	2	1	3	2	3	0.338	0.468	0.397	0.0	0.209	0.094	0.435	0.851	0.24	0.452	0.423	0.212	0.267	0.241
DE027N0:DE068N0	0.587	1	3	1	1	2	2	2	1	2	2	2	3	3	3	0.152	0.277	0.081	0.305	0.296	0.639	0.435	0.179	0.416	0.455	0.441	0.427	0.456	0.494
DE027N0:DE077N0	0.525	1	1	1	1	2	1	2	1	2	2	3	2	1	2	0.662	0.745	0.603	0.286	0.5	0.094	0.435	0.542	0.458	0.371	0.204	0.341	0.431	0.474
DE027N0:DE133C0	0.367	1	2	2	1	1	1	1	0	3	1	1	2	1	1	0.133	0.277	0.603	0.254	0.544	0.094	0.435	0.0	0.458	0.786	0.559	0.39	0.118	0.127
DE027N0:DE135C0	0.502	1	2	2	2	1	2	2	1	1	1	2	2	2	2	0.454	0.277	0.205	0.181	0.727	0.142	0.202	0.777	0.126	0.171	0.471	0.615	0.322	0.357
DE027N0:DE141C0	0.533	1	1	2	1	1	2	1	0	2	1	2	3	2	2	0.662	0.468	0.18	0.741	0.727	0.639	0.281	0.0	0.416	0.786	0.365	0.615	0.26	0.242
DE027N0:DE150C0	0.56	2	2	1	1	2	2	1	1	2	0	1	2	2	2	0.338	0.335	0.077	0.746	0.359	0.576	0.565	1.0	0.458	0.0	0.182	0.329	0.488	0.759
DE027N0:DE165C0	0.483	1	2	0	1	1	2	2	1	3	2	3	2	3	2	0.439	0.277	0.0	1.0	0.214	0.194	0.565	0.715	0.353	0.171	0.305	0.395	0.241	0.241
DE027N0:DE166C0	0.619	1	2	0	1	2	2	2	1	2	1	1	1	2	1	0.338	0.277	0.0	0.733	0.727	0.428	0.513	1.0	0.458	0.786	0.891	0.274	0.663	0.198
DE027N0:DE194C0	0.555	2	1	1	2	1	2	1	1	1	1	1	3	1	1	0.348	0.468	0.603	0.422	0.727	0.494	0.199	1.0	0.126	0.786	0.559	0.206	0.74	0.405
DE027N0:DE205C0	0.625	1	2	2	1	1	2	1	1	4	2	2	2	2	2	0.221	0.394	0.405	0.718	0.584	0.219	1.0	0.291	0.158	0.615	0.559	0.615	0.589	0.449
DE027N0:DE216C0	0.583	2	2	2	1	2	2	1	1	2	0	1	3	2	1	0.338	0.277	0.176	0.157	0.424	0.276	0.435	0.638	0.416	0.0	0.874	0.464	0.443	1.0
DE027N0:DE221C0	0.543	1	2	2	1	1	2	1	1	2	1	2	2	3	3	0.662	0.255	0.372	0.835	0.286	0.576	0.314	0.605	0.486	0.786	0.441	0.057	0.59	0.174
DE027N0:DE233C0	0.429	1	2	2	0	1	1	1	0	2	1	1	3	1	2	0.338	0.277	0.603	0.0	0.273	0.094	1.0	0.0	0.584	0.786	0.228	0.279	0.232	0.357
DE027N0:DE239C0	0.438	1	2	1	2	1	2	1	1	2	1	0	1	2	1	0.338	0.277	0.315	0.282	0.554	0.639	0.435	1.0	0.134	0.786	0.0	0.274	0.319	0.241
DE027N0:DE241C0	0.529	1	1	2	0	2	2	2	1	2	1	3	2	1	2	0.338	0.745	0.217	0.0	0.296	0.639	0.435	0.198	0.327	1.0	0.297	0.217	0.26	0.487
DE027N0:DE267C0	0.507	1	1	2	2	2	3	1	2	2	2	2	2	1	2	0.662	0.745	0.603	0.383	0.317	0.267	0.726	0.44	0.416	0.214	0.416	0.615	0.071	0.171
DE027N0:DE274C0	0.535	2	2	2	1	1	2	1	1	2	1	1	3	2	1	0.43	0.277	0.431	1.0	1.0	0.279	0.435	0.131	0.178	0.352	0.441	0.117	0.502	0.742
DE027N0:DE317C0	0.573	1	1	2	1	1	2	2	2	2	2	1	4	2	1	0.257	0.468	0.397	0.343	0.608	0.639	0.726	0.356	0.126	0.465	0.441	0.217	0.648	0.241
DE027N0:DE327C0	0.588	1	1	1	1	1	2	2	1	2	1	2	2	3	1	0.338	0.468	0.18	1.0	0.727	0.276	0.24	0.817	0.247	0.214	0.31	0.615	0.394	0.588
DE027N0:DE366C0	0.635	0	3	1	1	1	2	1	1	2	2	2	2	4	1	0.0	0.277	0.603	1.0	0.332	0.483	0.144	0.458	0.458	0.636	0.559	0.615	0.271	0.759
DE027N0:MKK2835.2G/	0.462	1	1	1	1	1	2	1	0	1	1	1	2	1	1	0.338	0.468	0.603	1.0	0.727	0.639	0.565	0.0	0.126	0.214	0.441	0.217	0.74	0.241
DE027N0:NHP1337.12C/	0.538	1	2	1	0	1	1	1	1	2	1	1	2	1	1	0.662	0.277	0.397	0.0	0.273	0.094	0.435	1.0	0.458	0.786	0.559	0.615	0.26	0.759
DE032N0:DE034N0	0.59	1	0	1	2	3	2	2	1	2	0	2	1	2	2	0.188	0.0	0.852	0.42	0.162	0.433	0.494	0.761	0.32	0.0	0.441	0.401	0.447	0.619
DE032N0:DE039N0	0.495	1	0	1	1	3	2	1	1	2	2	1	1	3	3	0.188	0.0	0.643	0.166	0.43	0.433	0.217	1.0	0.488	0.292	0.094	0.342	0.321	0.319
DE032N0:DE041N0	0.387	1	0	1	2	2	2	0	0	2	1	1	1	3	4	0.812	0.0	0.732	0.154	0.574	0.12	0.0	0.0	0.284	0.24	0.216	0.725	0.302	0.205
DE032N0:DE043N0	0.487	1	1	1	2	3	2	2	2	2	0	2	1	1	3	0.173	0.235	0.165	0.626	0.43	0.26	0.725	0.239	0.488	0.0	0.516	0.468	0.387	0.319
DE032N0:DE044N0	0.552	1	3	1	2	2	2	2	1	3	1	2	2	2	5	0.812	0.189	0.662	0.567	0.574	0.12	0.601	0.109	0.248	0.264	0.392	0.385	0.387	0.132
DE032N0:DE048N0	0.429	1	1	0	3	2	2	0	1	2	1	1	2	2	2	0.812	1.0	0.0	0.182	0.154	0.433	0.0	0.458	0.488	0.136	0.412	0.362	0.185	0.314
DE032N0:DE064N0	0.41	1	0	1	1	2	2	1	1	2	1	2	1	3	3	0.231	0.0	0.347	0.166	0.574	0.389	0.112	0.051	0.282	0.189	0.13	0.159	0.317	0.389
DE032N0:DE065N0	0.556	1	1	0	2	2	3	1	1	2	1	1	2	2	2	0.812	1.0	0.0	0.834	0.142	0.389	0.479	0.312	0.28	0.872	0.215	0.54	0.55	0.306
DE032N0:DE066N0	0.407	1	0	0	1	2	2	1	1	3	2	1	2	2	2	0.188	0.0	0.0	0.834	0.142	0.12	0.402	0.851	0.33	0.452	0.135	0.284	0.233	0.319
DE032N0:DE068N0	0.52	0	2	1	2	2	2	1	1	2	1	2	3	2	3	0.0	0.585	0.477	0.427	0.362	0.553	0.424	0.179	0.32	0.511	0.679	0.427	0.505	0.114
DE032N0:DE077N0	0.507	1	1	1	1	2	2	1	1	2	1	2	2	1	2	0.812	0.269	1.0	0.548	0.203	0.12	0.598	0.542	0.488	0.441	0.25	0.341	0.683	0.182
DE032N0:DE133C0	0.494	1	1	1	2	2	2	1	0	3	1	0	1	2	2	0.282	0.612	0.681	0.746	0.368	0.12	0.783	0.0	0.488	1.0	0.0	0.616	0.297	0.314
DE032N0:DE135C0	0.559	2	1	2	1	2	2	1	1	1	1	1	2	1	3	0.188	1.0	0.501	0.563	0.574	0.172	0.871	0.777	0.438	0.292	0.675	0.841	0.313	0.161
DE032N0:DE141C0	0.538	1	0	1	2	2	2	2	0	2	1	1	2	3	2	0.812	0.0	0.087	0.259	0.574	0.433	0.284	0.0	0.221	1.0	0.757	0.706	0.317	0.276
DE032N0:DE150C0	0.509	2	1	1	1	3	3	1	1	1	1	1	2	1	3	0.188	0.388	0.319	0.088	0.273	0.389	0.217	1.0	0.926	0.256	0.741	0.329	0.488	0.306
