comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
HI0142.F2:HI0253.F2	0.576	1	2	1	1	2	0	2	1	1	2	1	2	1	2	0.587	0.458	1.0	0.87	0.595	0.0	0.535	0.161	0.544	0.526	0.519	0.284	0.676	0.317
HI0142.F2:HI0254.F2	0.631	2	2	2	1	0	3	1	0	1	2	3	1	2	2	0.634	0.458	0.427	0.758	0.0	0.433	0.762	0.0	0.647	0.711	0.359	0.917	0.44	0.402
HI0142.F2:HI0256.F2	0.533	3	2	1	1	0	1	0	1	1	2	2	1	3	1	0.211	0.458	0.919	0.87	0.0	0.069	0.0	0.098	0.865	0.711	0.519	1.0	0.358	0.191
HI0142.F2:HI0258.F2	0.751	2	2	1	2	1	1	2	1	1	2	1	1	3	2	0.557	0.371	1.0	0.334	1.0	1.0	0.423	0.731	0.881	0.711	0.817	0.915	0.457	0.214
HI0142.F2:HI0259.F2	0.624	2	2	1	1	1	1	1	0	1	2	1	1	2	2	0.224	0.458	1.0	0.13	0.895	1.0	1.0	0.0	0.818	0.673	0.519	0.517	0.394	0.57
HI0142.F2:HI0263.F2	0.636	2	2	1	2	2	0	1	1	1	1	1	3	2	4	0.634	0.284	0.794	0.424	0.551	0.0	1.0	1.0	1.0	0.784	0.519	0.378	0.238	0.203
HI0142.F2:HI0265.F2	0.668	2	2	1	1	1	1	1	1	1	2	2	1	2	1	0.4	0.458	1.0	0.13	1.0	0.73	1.0	1.0	0.681	0.711	0.355	1.0	0.124	0.37
HI0142.F2:HI0266.F2	0.686	1	2	1	1	1	1	1	1	1	2	1	1	3	2	0.634	0.458	1.0	0.13	0.233	0.581	1.0	0.114	1.0	0.711	0.519	1.0	0.296	0.573
HI0142.F2:HI0267.F2	0.786	2	2	1	1	1	2	1	2	2	3	1	2	2	2	0.634	0.177	1.0	1.0	1.0	0.469	1.0	0.556	0.39	0.318	0.829	0.781	0.358	0.585
HI0142.F2:HI0268.F2	0.598	3	3	1	2	0	1	1	1	1	2	2	1	3	1	0.211	0.397	0.919	0.32	0.0	0.433	0.585	0.184	1.0	0.711	0.519	1.0	0.358	0.27
HI0143.F2:HI0144.F2	0.81	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1.0	1.0	0.597	0.582	1.0	0.3	0.356	0.161	0.393	1.0	1.0	1.0	0.92	0.593
HI0143.F2:HI0145.F2	0.624	0	0	1	1	1	2	2	1	0	2	1	2	2	2	0.0	0.0	0.62	0.627	1.0	0.151	0.356	0.872	0.0	0.154	1.0	0.545	0.518	0.553
HI0143.F2:HI0146.F2	0.661	1	1	1	1	2	3	2	2	0	1	1	1	1	2	1.0	0.344	0.674	0.418	0.785	0.352	0.356	0.451	0.0	1.0	1.0	0.736	1.0	0.176
HI0143.F2:HI0147.F2	0.578	1	0	1	1	1	3	2	2	0	2	1	1	2	5	1.0	0.0	1.0	0.418	0.469	0.3	0.356	0.53	0.0	0.522	0.697	0.636	0.555	0.141
HI0143.F2:HI0148.F2	0.636	1	1	1	1	1	2	3	1	1	1	1	1	2	3	0.817	1.0	1.0	0.418	0.572	0.352	0.356	0.872	0.609	0.275	0.515	0.79	0.386	0.258
HI0143.F2:HI0150.F2	0.696	1	2	1	1	1	3	2	1	1	2	1	1	1	2	1.0	0.303	1.0	0.418	0.813	0.3	0.222	0.128	0.619	0.435	0.357	0.934	0.922	0.647
HI0143.F2:HI0151.F2	0.685	2	1	1	1	1	1	2	1	0	1	1	1	2	2	0.529	0.771	1.0	0.418	1.0	0.141	0.284	0.872	0.0	0.16	1.0	1.0	0.627	0.828
HI0143.F2:HI0154.F2	0.784	1	1	1	1	1	3	2	1	1	1	1	1	2	2	1.0	0.572	1.0	0.418	1.0	0.352	0.356	0.226	0.787	0.678	1.0	1.0	0.56	0.647
HI0143.F2:HI0156.F2	0.458	1	0	2	1	2	2	1	2	3	1	2	2	3	3	0.54	0.0	0.372	0.418	0.298	0.353	0.284	0.27	0.32	1.0	0.139	0.649	0.312	0.082
HI0143.F2:HI0159.F2	0.687	1	0	1	1	1	2	2	3	1	2	2	1	2	2	0.529	0.0	1.0	0.311	1.0	0.3	0.356	0.284	1.0	0.494	0.418	1.0	0.616	0.304
HI0143.F2:HI0160.F2	0.658	1	2	2	1	2	2	2	2	2	1	1	2	1	3	0.611	0.396	0.47	0.418	0.296	0.141	0.356	0.214	0.278	0.62	0.926	0.681	0.92	0.508
HI0143.F2:HI0162.F2	0.611	1	1	1	1	0	4	2	3	1	1	1	2	1	2	0.634	1.0	1.0	0.117	0.0	0.352	0.36	0.336	0.113	0.527	1.0	0.84	0.92	0.225
HI0143.F2:HI0163.F2	0.654	1	1	1	1	1	3	1	1	1	1	1	2	3	1	1.0	0.797	1.0	0.359	0.692	0.352	0.138	0.815	1.0	0.625	0.863	0.618	0.473	0.353
HI0143.F2:HI0164.F2	0.561	1	1	1	1	1	2	3	3	1	1	2	1	2	2	0.28	1.0	0.597	0.582	0.23	0.492	0.356	0.19	0.393	0.527	0.386	0.589	0.677	0.275
HI0143.F2:HI0165.F2	0.519	1	0	1	1	3	2	2	2	2	1	1	2	2	1	1.0	0.0	1.0	0.418	0.298	0.352	0.212	0.154	0.32	0.773	0.514	0.694	0.418	0.275
HI0143.F2:HI0170.F2	0.47	1	1	1	0	2	3	1	2	1	2	1	1	3	2	1.0	1.0	0.541	0.0	0.316	0.217	0.36	0.24	0.117	0.39	0.273	0.419	0.218	0.516
HI0143.F2:HI0173.F2	0.492	2	1	1	0	2	4	2	1	1	1	1	2	3	1	0.389	0.809	0.485	0.0	0.393	0.352	0.36	0.872	0.09	0.527	0.16	0.84	0.273	0.313
HI0143.F2:HI0174.F2	0.555	1	1	1	1	1	3	1	2	1	1	1	1	2	2	0.823	0.873	1.0	0.418	0.051	0.352	0.36	0.264	0.134	0.283	1.0	0.777	0.386	0.275
HI0143.F2:HI0175.F2	0.474	1	1	1	1	1	2	1	1	1	1	2	3	2	1	0.277	1.0	0.388	0.418	0.079	0.316	0.284	0.128	1.0	1.0	0.35	0.29	0.24	0.275
HI0143.F2:HI0177.F2	0.622	1	1	2	1	1	2	2	1	1	1	2	1	1	2	0.557	1.0	0.598	0.418	1.0	0.352	0.716	0.092	0.855	0.318	0.469	0.709	0.27	0.485
HI0143.F2:HI0183.F2	0.43	1	0	2	1	0	3	1	2	1	1	2	1	3	2	1.0	0.0	0.372	0.24	0.0	0.222	0.284	0.441	0.436	0.784	0.21	0.536	0.548	0.065
HI0143.F2:HI0185.F2	0.517	1	1	1	1	1	2	2	2	2	1	1	2	2	2	0.444	0.196	0.506	0.418	0.127	0.352	0.356	0.636	0.087	0.181	1.0	0.268	0.23	0.596
HI0143.F2:HI0187.F2	0.448	1	1	1	1	1	2	2	2	1	1	1	2	2	2	1.0	1.0	0.805	0.2	0.212	0.352	0.356	0.708	0.452	0.264	0.518	0.114	0.14	0.275
HI0143.F2:HI0188.F2	0.626	1	1	1	1	1	1	1	2	1	1	2	1	1	2	0.409	0.559	0.544	0.143	1.0	0.7	0.609	0.079	0.39	1.0	0.551	1.0	0.92	0.192
HI0143.F2:HI0189.F2	0.517	1	1	1	1	0	2	2	2	0	1	2	2	2	2	0.611	1.0	1.0	0.582	0.0	0.3	0.093	0.128	0.0	1.0	0.414	0.292	0.415	0.645
HI0143.F2:HI0190.F2	0.394	0	1	0	1	2	2	2	2	1	1	2	0	2	3	0.0	0.723	0.0	0.418	0.421	0.352	0.356	0.256	0.19	0.159	0.507	0.0	0.264	0.275
HI0143.F2:HI0194.F2	0.546	1	2	2	2	1	2	2	3	2	1	0	1	2	3	0.747	0.198	0.669	0.135	0.863	0.3	0.432	0.55	0.596	0.358	0.0	0.461	0.326	0.575
