comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
AB235.albumax.Control:AB243.albumax.Control	0.552	1	1	1	2	2	2	0	1	1	2	3	2	2	4	0.51	0.399	0.342	0.58	0.441	0.247	0.0	0.472	0.838	0.336	0.362	0.261	0.568	0.221
AB235.albumax.Control:AB246.albumax.Control	0.656	2	1	2	0	2	1	1	1	1	2	2	1	2	3	0.49	0.75	0.308	0.0	0.193	0.268	1.0	1.0	0.838	0.692	0.507	0.419	0.438	0.357
AB235.albumax.Control:AB247.albumax.Control	0.594	2	1	1	1	1	2	1	1	1	1	2	1	2	3	0.49	1.0	0.342	1.0	0.139	0.352	1.0	0.157	0.838	0.308	0.507	0.532	0.568	0.25
AB235.albumax.Control:AB248.albumax.Control	0.596	1	0	1	1	1	1	1	1	1	2	3	3	2	3	0.49	0.0	0.342	0.804	0.723	0.147	1.0	0.336	0.838	0.506	0.303	0.248	0.568	0.221
AB235.albumax.Control:AB250.albumax.Control	0.609	1	1	1	2	0	1	1	1	2	1	2	2	3	3	0.49	1.0	0.144	0.722	0.0	0.265	1.0	0.444	0.715	0.361	0.253	0.527	0.568	0.405
AB235.albumax.Control:AB251.albumax.Control	0.644	1	1	2	1	1	2	1	0	2	2	2	1	2	3	0.201	0.86	0.658	1.0	0.416	0.366	0.731	0.0	0.197	0.33	0.362	1.0	0.568	0.374
AB235.albumax.Control:AB252.albumax.Control	0.515	1	2	2	1	1	2	1	2	2	2	2	1	2	3	0.196	0.704	0.304	0.205	0.838	0.32	1.0	0.506	0.339	0.308	0.362	0.136	0.246	0.269
AB235.albumax.Control:AB253.albumax.Control	0.55	1	1	1	1	1	1	1	0	2	1	2	1	1	3	0.49	0.635	0.851	0.825	0.101	0.735	1.0	0.0	0.268	0.692	0.347	1.0	0.349	0.247
AB235.albumax.Control:AB254.albumax.Control	0.509	1	0	1	0	2	2	1	1	2	3	2	1	1	3	0.49	0.0	0.658	0.0	0.231	0.265	1.0	0.336	0.36	0.308	0.243	0.714	0.492	0.369
AB235.albumax.Control:AB255.albumax.Control	0.634	2	1	1	1	2	2	1	1	2	2	2	2	2	3	0.49	1.0	0.815	0.728	0.411	0.55	1.0	0.602	0.207	0.309	0.404	0.301	0.235	0.221
AB235.albumax.Control:AB280.albumax.Control	0.511	1	1	1	0	0	1	1	1	1	2	1	1	1	2	0.49	1.0	0.326	0.0	0.0	0.201	1.0	0.75	0.162	0.692	0.638	0.333	0.692	0.269
AB235.albumax.Control:AB283.albumax.Control	0.495	0	0	1	1	1	1	1	0	2	1	2	1	2	3	0.0	0.0	0.342	0.727	0.906	0.265	1.0	0.0	0.277	0.692	0.362	0.113	0.535	0.221
AB235.albumax.Control:AB290.albumax.Control	0.595	1	1	1	1	2	2	2	1	1	3	2	2	2	4	0.49	1.0	0.342	0.634	0.243	0.381	0.488	0.109	0.838	0.442	0.362	0.323	0.343	0.264
AB235.albumax.Control:AB291.albumax.Control	0.668	1	1	1	1	1	1	1	2	2	1	1	2	2	3	0.49	1.0	0.465	0.246	0.23	0.467	0.783	0.633	0.751	0.692	0.507	0.699	0.568	0.221
AB235.albumax.Control:AC054N2.serum.Control	0.602	1	0	1	1	1	1	1	1	2	1	2	2	1	2	0.649	0.0	0.658	0.389	0.43	0.735	1.0	1.0	0.329	0.308	0.292	0.598	0.657	0.536
AB235.albumax.Control:AC062N2.serum.Control	0.633	1	1	1	1	1	2	1	1	1	2	1	1	2	4	0.49	0.209	0.658	0.883	0.755	0.735	1.0	0.916	0.681	0.497	0.507	1.0	0.089	0.151
AB235.albumax.Control:AC107N1.albumax.Control	0.553	1	2	2	0	2	1	1	1	1	2	2	2	1	3	0.49	0.233	0.354	0.0	0.172	0.735	1.0	0.469	0.171	0.616	0.226	0.682	0.657	0.264
AB235.albumax.Control:ND2D4.albumax.Control	0.6	0	1	0	2	2	1	1	1	2	2	1	1	1	3	0.0	1.0	0.0	0.658	0.718	1.0	0.88	0.617	0.675	0.308	0.638	0.584	0.059	0.357
AB235.albumax.Control:ND51A.albumax.Control	0.527	1	1	2	1	0	2	1	1	2	1	2	1	2	4	0.49	0.354	0.452	0.746	0.0	0.365	1.0	0.184	0.162	0.692	0.362	0.789	0.126	0.264
